Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207758,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Annette Lake (49°26'06""N., 89°39'49""W.)","Lac Annette (49° 26' 06""N., 89° 39' 49""O.)",01/01/2022,12/31/2022
125207758,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Annette Lake (49°26'06""N., 89°39'49""W.)","Lac Annette (49° 26' 06""N., 89° 39' 49""O.)",01/01/2022,12/31/2022
125207759,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Bateman Lake (48°30'33""N., 89°45'17""W.) - Conmee Township","Lac Bateman (48° 30' 33""N., 89° 45' 17""O.) - canton de Conmee",01/01/2022,12/31/2022
125207759,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Bateman Lake (48°30'33""N., 89°45'17""W.) - Conmee Township","Lac Bateman (48° 30' 33""N., 89° 45' 17""O.) - canton de Conmee",01/01/2022,12/31/2022
125207760,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Bell Lake (48°06'16""N., 89°42'26""W.) - Devon Township","Lac Bell (48° 06' 16""N., 89° 42' 26""O.) - canton de Devon",01/01/2022,12/31/2022
125207760,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Bell Lake (48°06'16""N., 89°42'26""W.) - Devon Township","Lac Bell (48° 06' 16""N., 89° 42' 26""O.) - canton de Devon",01/01/2022,12/31/2022
125207761,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Birch Lake (48°10'28""N., 90°07'18""W.) - Hardwick Township","Lac Birch (48° 10' 28""N., 90° 07' 18""O.) - canton de Hardwick",01/01/2022,12/31/2022
125207761,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Birch Lake (48°10'28""N., 90°07'18""W.) - Hardwick Township","Lac Birch (48° 10' 28""N., 90° 07' 18""O.) - canton de Hardwick",01/01/2022,12/31/2022
125207763,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Blake's Lake (48°56'57""N., 88°28'11""W.) - Hele Township","Lac Blake's (48° 56' 57""N., 88° 28' 11""O.) - canton de Hele",01/01/2022,12/31/2022
125207763,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Blake's Lake (48°56'57""N., 88°28'11""W.) - Hele Township","Lac Blake's (48° 56' 57""N., 88° 28' 11""O.) - canton de Hele",01/01/2022,12/31/2022
125207764,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Caribou Lake (48°37’23”N., 88°40’14”W.) - McTavish Township","Lac Caribou (48°37’23” N., 88°40’14” O.) - canton de McTavish",01/01/2022,12/31/2022
125207764,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Caribou Lake (48°37’23”N., 88°40’14”W.) - McTavish Township","Lac Caribou (48°37’23” N., 88°40’14” O.) - canton de McTavish",01/01/2022,12/31/2022
125207765,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Caro Lake (49°06'13""N., 88°57'50""W.)","Lac Caro (49° 06' 13""N., 88° 57' 50""O.)",01/01/2022,12/31/2022
125207765,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Caro Lake (49°06'13""N., 88°57'50""W.)","Lac Caro (49° 06' 13""N., 88° 57' 50""O.)",01/01/2022,12/31/2022
125207766,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Cavern Lake (48°50'04""N., 88°39'35""W.) - Dorion Township","Lac Cavern (48° 50' 04""N., 88° 39' 35""O.) - canton de Dorion",01/01/2022,12/31/2022
125207766,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Cavern Lake (48°50'04""N., 88°39'35""W.) - Dorion Township","Lac Cavern (48° 50' 04""N., 88° 39' 35""O.) - canton de Dorion",01/01/2022,12/31/2022
