Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5161-51620,Fault Lake,lac Fault,,46.61367,-80.78898,01/01/2022,12/31/2022
125209687,17-5161-51821,Mountain Creek,ruisseau Mountain,,46.79454,-80.7885862,01/01/2022,12/31/2022
125209687,17-5163-52494,Brace Lake,lac Brace,,47.3913595,-80.7812174,01/01/2022,12/31/2022
125209687,17-5163-52605,Lily Lake,lac Lily,,47.5051263,-80.7859546,01/01/2022,12/31/2022
125209687,17-5163-52661,Flanagan Creek,ruisseau Flanagan,,47.5560234,-80.797029,01/01/2022,12/31/2022
125209687,17-5259-52029,Redpine Lake,lac Redpine,,46.9810824,-80.6590651,01/01/2022,12/31/2022
125209687,17-5153-51568,Boucher Lake,lac Boucher,,46.5720516,-80.807185,01/01/2022,12/31/2022
125209687,17-5142-51864,Little Italy Lake,lac Little Italy,,46.8332409,-80.8132955,01/01/2022,12/31/2022
125209687,17-5138-52717,Dobie Lake,lac Dobie,,47.6006423,-80.8183225,01/01/2022,12/31/2022
125209687,17-5138-52718,Reeve Lake,lac Reeve,,47.6048079,-80.8116143,01/01/2022,12/31/2022
125209687,17-5138-52735,Paw Lake,lac Paw,,47.6102829,-80.8184146,01/01/2022,12/31/2022
125209687,17-5139-52402,Lofty Lake,lac Lofty,,47.3229018,-80.8202238,01/01/2022,12/31/2022
125209687,17-5139-52403,Rawleigh Lake,lac Rawleigh,,47.3237101,-80.8149564,01/01/2022,12/31/2022
125209687,17-5140-51679,Hagarty Lake,lac Hagarty,,46.66361,-80.81686,01/01/2022,12/31/2022
125209687,17-5140-51716,Frost Lake,lac Frost,,46.7056027,-80.828267,01/01/2022,12/31/2022
125209687,17-5140-51901,Sam Martin Creek,ruisseau Sam Martin,,46.8722914,-80.819997,01/01/2022,12/31/2022
125209687,17-5141-52037,Bluff Lake,lac Bluff,,46.98895,-80.81425,01/01/2022,12/31/2022
125209687,17-5150-52772,Islet Bay,baie Islet,,47.64255,-80.79584,01/01/2022,12/31/2022
125209687,17-5141-52369,Canthook Lake,lac Canthook,,47.2880067,-80.8123986,01/01/2022,12/31/2022
125209687,17-5163-52735,Miles Bay,baie Miles,,47.61581,-80.78976,01/01/2022,12/31/2022
125209687,17-5142-52234,Hartman Lake,lac Hartman,,47.16617,-80.81286,01/01/2022,12/31/2022
