Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035631,48.8234006,-84.4442886,01/01/2022,12/31/2022
107035632,48.9125854,-84.2743562,01/01/2022,12/31/2022
107035633,48.8663033,-84.5593863,01/01/2022,12/31/2022
107035634,48.8124423,-84.5208626,01/01/2022,12/31/2022
107035635,48.6923726,-84.564431,01/01/2022,12/31/2022
107035636,49.3704951,-86.3526201,01/01/2022,12/31/2022
107035637,49.1883916,-86.1114816,01/01/2022,12/31/2022
107035638,49.219703,-86.5255324,01/01/2022,12/31/2022
107035639,49.2582565,-86.2129263,01/01/2022,12/31/2022
107035640,48.0623099,-85.3372334,01/01/2022,12/31/2022
107035641,49.0753534,-86.5266834,01/01/2022,12/31/2022
107035642,48.311189,-85.1100436,01/01/2022,12/31/2022
107035643,48.7893689,-85.3361579,01/01/2022,12/31/2022
107035644,49.2431177,-85.0761741,01/01/2022,12/31/2022
107035645,48.9009457,-86.166404,01/01/2022,12/31/2022
107035646,48.1160165,-84.3597201,01/01/2022,12/31/2022
107035647,48.2233886,-84.2640363,01/01/2022,12/31/2022
107035648,48.0743421,-84.5277223,01/01/2022,12/31/2022
107035649,48.2229227,-84.2571908,01/01/2022,12/31/2022
107035650,47.92515715,-84.77695065,01/01/2022,12/31/2022
107035651,48.0793359,-85.3607809,01/01/2022,12/31/2022
107035652,48.073037,-85.4121414,01/01/2022,12/31/2022
107035653,48.2351203,-84.1215519,01/01/2022,12/31/2022
107035654,49.4197862,-85.1090125,01/01/2022,12/31/2022
107035655,49.3735475,-84.9885033,01/01/2022,12/31/2022
107035656,49.4474864,-84.7786424,01/01/2022,12/31/2022
107035657,49.0460136,-86.6118261,01/01/2022,12/31/2022
107035658,48.7156203,-84.204551,01/01/2022,12/31/2022
107035659,48.696264,-84.2087331,01/01/2022,12/31/2022
107035660,48.6616197,-84.2589812,01/01/2022,12/31/2022
107035661,49.2004499,-85.0861125,01/01/2022,12/31/2022
107035662,49.1142326,-85.1627487,01/01/2022,12/31/2022
107035663,48.601929,-85.2575264,01/01/2022,12/31/2022
107035664,47.9611209,-85.7240898,01/01/2022,12/31/2022
107035665,47.9988201,-83.3276382,01/01/2022,12/31/2022
107035666,48.69402,-85.2421325,01/01/2022,12/31/2022
107035667,48.047534,-84.1870683,01/01/2022,12/31/2022
107035668,48.1291043,-84.0589928,01/01/2022,12/31/2022
107035669,49.0389729,-86.6245584,01/01/2022,12/31/2022
107035670,48.7254402,-86.3182535,01/01/2022,12/31/2022
107035671,49.2188567,-86.5235224,01/01/2022,12/31/2022
107035672,49.2277181,-86.5031548,01/01/2022,12/31/2022
107035673,48.5450842,-84.2200091,01/01/2022,12/31/2022
107035674,48.4565394,-84.2256656,01/01/2022,12/31/2022
107035675,48.714873,-85.7939785,01/01/2022,12/31/2022
107035676,48.6930778,-85.6240663,01/01/2022,12/31/2022
107035677,48.8582891,-85.5953634,01/01/2022,12/31/2022
107035678,48.8441459,-85.5695367,01/01/2022,12/31/2022
107035679,47.9879911,-84.4066989,01/01/2022,12/31/2022
107035680,49.0433333,-86.76,01/01/2022,12/31/2022
107035681,48.2905537,-80.5835219,01/01/2022,12/31/2022
107035682,49.9721585,-80.648377,01/01/2022,12/31/2022
107035683,49.3953766,-80.0702797,01/01/2022,12/31/2022
107035684,48.4626169,-80.8108846,01/01/2022,12/31/2022
107035685,50.1251799,-80.6045352,01/01/2022,12/31/2022
107035686,47.9403788,-80.0860491,01/01/2022,12/31/2022
107035687,47.8615673,-83.2225823,01/01/2022,12/31/2022
107035688,47.8699052,-83.2836266,01/01/2022,12/31/2022
107035689,49.8040733,-80.6882122,01/01/2022,12/31/2022
107035690,49.5143215,-80.1894399,01/01/2022,12/31/2022
107035691,49.7123432,-80.5556162,01/01/2022,12/31/2022
107035692,49.0616456,-81.0186365,01/01/2022,12/31/2022
107035693,49.8745264,-80.7622362,01/01/2022,12/31/2022
107035694,49.2205808,-81.804424,01/01/2022,12/31/2022
107035695,47.6561184,-81.6210445,01/01/2022,12/31/2022
107035696,49.9989451,-80.6002637,01/01/2022,12/31/2022
107035697,50.3546408,-80.3781643,01/01/2022,12/31/2022
107035698,49.8446314,-80.7409123,01/01/2022,12/31/2022
107035699,47.6503148,-80.8677564,01/01/2022,12/31/2022
107035700,49.4699246,-80.2665888,01/01/2022,12/31/2022
107035701,49.4603672,-80.5672498,01/01/2022,12/31/2022
107035702,49.6549153,-80.4938067,01/01/2022,12/31/2022
107035703,48.0991279,-82.2717458,01/01/2022,12/31/2022
107035704,49.5451567,-81.9385625,01/01/2022,12/31/2022
107035705,49.8857347,-80.5475296,01/01/2022,12/31/2022
107035706,47.8696427,-82.2950575,01/01/2022,12/31/2022
107035707,48.0678507,-82.3730031,01/01/2022,12/31/2022
107035708,47.9895023,-82.2607712,01/01/2022,12/31/2022
107035709,48.028714,-82.3667012,01/01/2022,12/31/2022
